,Line name,Activity,0,6,11,15,20,25,30,35,40,45,50,55,60,116,151
71,#56_r2,1.3688367237692494e-05,0.063,0.063,0.063,0.063,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.065,0.065
72,#58_r0,0.00010877208848278896,0.068,0.07,0.071,0.071,0.071,0.072,0.072,0.072,0.073,0.074,0.074,0.074,0.075,0.081,0.086
73,#58_r1,3.771014485229799e-05,0.076,0.073,0.071,0.068,0.068,0.068,0.07,0.07,0.071,0.071,0.071,0.071,0.072,0.075,0.077
74,#58_r2,5.744423465506934e-05,0.064,0.065,0.065,0.065,0.066,0.066,0.066,0.066,0.067,0.067,0.067,0.068,0.068,0.071,0.073
75,#59_r0,0.00018509683280807423,0.064,0.074,0.066,0.067,0.073,0.069,0.074,0.074,0.075,0.075,0.076,0.075,0.078,0.088,0.095
76,#59_r1,8.230545137787985e-06,0.062,0.063,0.063,0.064,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.064,0.064
77,#59_r2,9.714419869519382e-06,0.063,0.063,0.063,0.063,0.063,0.063,0.062,0.062,0.063,0.063,0.063,0.064,0.064,0.064,0.064
78,#63_r0,0.0005931023954964561,0.066,0.069,0.071,0.073,0.076,0.078,0.081,0.083,0.086,0.089,0.091,0.094,0.097,0.132,0.156
79,#63_r1,0.0006157477020342309,0.067,0.069,0.071,0.073,0.076,0.078,0.082,0.084,0.087,0.09,0.093,0.096,0.099,0.135,0.159
80,#63_r2,0.000581539494264538,0.076,0.108,0.073,0.076,0.078,0.081,0.084,0.087,0.09,0.093,0.096,0.099,0.102,0.141,0.167
