Line Name,Replicate,Activity,str_idx,pro_idx,sec_idx,gen_idx,Corrected activity
#58,r1,3.771014485229799e-05,3,12,15,19,-10.185581405484257
#58,r2,5.744423465506934e-05,3,12,15,19,-9.764695912838144
#59,r0,0.00018509683280807423,2,8,18,20,-8.594631449238536
#59,r1,1e-05,2,8,18,20,-11.512925464970229
#59,r2,1e-05,2,8,18,20,-11.512925464970229
#60,r0,0.00022549964692356828,4,14,15,22,-8.39719196477191
#60,r1,0.000218287662629264,4,14,15,22,-8.429696811675331
#60,r2,0.00022748340553944838,4,14,15,22,-8.38843326491746
#61,r0,1e-05,4,14,17,20,-11.512925464970229
#61,r1,1.4980164857376784e-05,4,14,17,20,-11.108783574770415
#61,r2,1.729763769178941e-05,4,14,17,20,-10.964940615391836
#62,r0,1.5703214540075387e-05,4,13,16,20,-11.061645118792477
#62,r1,1.5703214540075387e-05,4,13,16,20,-11.061645118792477
#62,r2,1e-05,4,13,16,20,-11.512925464970229
#63,r0,0.0005931023954964561,1,12,16,21,-7.430143500185824
#63,r1,0.0006157477020342309,1,12,16,21,-7.392673252949103
#63,r2,0.000581539494264538,1,12,16,21,-7.44983167040209
#64,r0,_,4,6,18,19,
#64,r1,_,4,6,18,19,
#64,r2,_,4,6,18,19,
